iter	Logloss
0	0.6869657087
1	0.679751405
2	0.6732409728
3	0.6676511368
4	0.661355096
5	0.655845059
6	0.6494498445
7	0.6440209295
8	0.6384998381
9	0.6328799547
10	0.6275753267
11	0.6224853013
12	0.6171159473
13	0.6123786628
14	0.6081780415
15	0.6023570438
16	0.5976670421
17	0.5935015912
18	0.589921092
19	0.5854781755
20	0.5812714508
21	0.5774170797
22	0.5736434876
23	0.5696255261
24	0.5649583535
25	0.5616539487
26	0.5577933387
27	0.5545089996
28	0.5512255145
29	0.5477221588
30	0.5449342253
31	0.5416653453
32	0.5390135754
33	0.5353899449
34	0.5330587105
35	0.5306366003
36	0.5278365184
37	0.5256177
38	0.5235001408
39	0.5207029749
40	0.5180714156
41	0.5156505774
42	0.5135251609
43	0.5115104196
44	0.509450467
45	0.5071232385
46	0.5054611052
47	0.5027924316
48	0.5006979514
49	0.4986126077
50	0.4969966602
51	0.4953099895
52	0.4931627836
53	0.4912061535
54	0.4890731302
55	0.4877132355
56	0.4862527435
57	0.4848010863
58	0.4828602341
59	0.4810926427
60	0.4794750444
61	0.4780995477
62	0.4763255648
63	0.4751165752
64	0.473943553
65	0.4727223413
66	0.4715738817
67	0.4706474857
68	0.4687241986
69	0.4675966778
70	0.4662786457
71	0.4649972394
72	0.4637308959
73	0.4624094602
74	0.4612463032
75	0.4604005611
76	0.4593728596
77	0.4584251617
78	0.4572279616
79	0.456281252
80	0.4551952317
81	0.4543918799
82	0.4535795726
83	0.4525666802
84	0.4518347465
85	0.4510378893
86	0.4500285691
87	0.4486696932
88	0.4479608206
89	0.4472925468
90	0.4463926597
91	0.445371739
92	0.4444009992
93	0.4436797474
94	0.4430863218
95	0.4423732256
96	0.441526525
97	0.4409022089
98	0.4402886315
99	0.4395457536
100	0.438820623
101	0.4382858297
102	0.4376847557
103	0.4371369755
104	0.4365469681
105	0.4360361441
106	0.4354451108
107	0.4349408095
108	0.4343889083
109	0.4338927222
110	0.4330792412
111	0.4325892052
112	0.432077109
113	0.4315848868
114	0.430624897
115	0.4302471526
116	0.4297118976
117	0.4292818408
118	0.4288876886
119	0.4284659771
120	0.4279795585
121	0.4275271605
122	0.4270282374
123	0.4261761477
124	0.4257745762
125	0.425359842
126	0.4250166533
127	0.4246282742
128	0.4241140247
129	0.423503979
130	0.4232608897
131	0.4229456749
132	0.4224220925
133	0.4219167424
134	0.4215177759
135	0.4211809066
136	0.4207410347
137	0.4203968738
138	0.4199375075
139	0.4196118002
140	0.4193078761
141	0.4188889678
142	0.4184830344
143	0.4181844902
144	0.4177373307
145	0.4172692042
146	0.416849006
147	0.4165198469
148	0.4162314044
149	0.4158409753
150	0.4155391474
151	0.415241666
152	0.414886613
153	0.4146239281
154	0.4143543504
155	0.4140358206
156	0.4137722487
157	0.4135019922
158	0.4133046645
159	0.4130917272
160	0.4127845169
161	0.4124418916
162	0.4121820134
163	0.4119713419
164	0.4117961533
165	0.411571128
166	0.4112310752
167	0.4110153732
168	0.4106927761
169	0.4104367535
170	0.4102498837
171	0.4099233891
172	0.4097399379
173	0.4095535709
174	0.4092795003
175	0.4087971308
176	0.4086433223
177	0.4084314237
178	0.4082521083
179	0.4080765552
180	0.4078582925
181	0.4076960847
182	0.4074632691
183	0.4071286304
184	0.406830933
185	0.4066372733
186	0.4064106832
187	0.4061940289
188	0.4060014997
189	0.4057361052
190	0.4056163092
191	0.405425021
192	0.4052143964
193	0.4050064447
194	0.4048318631
195	0.4046379792
196	0.4045026166
197	0.4043210582
198	0.4041776948
199	0.4039616995
200	0.4037889284
201	0.4035623827
202	0.4033953876
203	0.4032601375
204	0.4030960202
205	0.4029414091
206	0.4027310044
207	0.4024932814
208	0.4023324125
209	0.4020620628
210	0.4019735445
